id_participante,faixa_etaria,faixa_etaria_descricao,sexo,sexo_descricao,cor_raca,cor_raca_descricao,estado_civil,estado_civil_descricao,nacionalidade,nacionalidade_descricao,st_conclusao,st_conclusao_descricao
3143,4,19,M,Masculino,1,Branca,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3144,8,23,M,Masculino,3,Parda,1,Solteiro(a),0,Nao informado,1,Ja conclui o Ensino Medio
3145,3,18,M,Masculino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3146,17,Entre 56 e 60,M,Masculino,2,Preta,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3147,17,Entre 56 e 60,M,Masculino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3148,14,Entre 41 e 45,F,Feminino,1,Branca,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3149,4,19,M,Masculino,4,Amarela,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3150,15,Entre 46 e 50,M,Masculino,3,Parda,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3151,2,17,F,Feminino,4,Amarela,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3152,1,Menor de 17,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3153,7,22,F,Feminino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),0,Nao informado,1,Ja conclui o Ensino Medio
3154,11,Entre 26 e 30,F,Feminino,4,Amarela,4,Viuvo(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3155,8,23,M,Masculino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3156,15,Entre 46 e 50,M,Masculino,2,Preta,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3157,7,22,M,Masculino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3158,3,18,M,Masculino,0,Nao declarado,0,Nao informado,0,Nao informado,3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3159,18,Entre 61 e 65,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3160,15,Entre 46 e 50,F,Feminino,3,Parda,4,Viuvo(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3161,3,18,F,Feminino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3162,13,Entre 36 e 40,M,Masculino,1,Branca,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
3163,8,23,M,Masculino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3164,3,18,M,Masculino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3165,8,23,F,Feminino,4,Amarela,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3166,16,Entre 51 e 55,F,Feminino,4,Amarela,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3167,18,Entre 61 e 65,M,Masculino,3,Parda,4,Viuvo(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3168,10,25,M,Masculino,3,Parda,1,Solteiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3169,2,17,F,Feminino,3,Parda,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3170,4,19,M,Masculino,2,Preta,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3171,14,Entre 41 e 45,M,Masculino,2,Preta,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3172,12,Entre 31 e 35,F,Feminino,3,Parda,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
3173,17,Entre 56 e 60,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),1,Ja conclui o Ensino Medio
3174,3,18,M,Masculino,2,Preta,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3175,10,25,F,Feminino,3,Parda,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3176,5,20,M,Masculino,3,Parda,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3177,4,19,F,Feminino,0,Nao declarado,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3178,5,20,F,Feminino,5,Indigena,0,Nao informado,1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3179,10,25,M,Masculino,5,Indigena,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3180,5,20,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3181,12,Entre 31 e 35,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),4,Nao conclui e nao estou cursando o Ensino Medio
3182,17,Entre 56 e 60,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3183,8,23,M,Masculino,3,Parda,1,Solteiro(a),3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3184,4,19,F,Feminino,1,Branca,0,Nao informado,3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3185,9,24,M,Masculino,4,Amarela,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3186,8,23,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3187,6,21,F,Feminino,0,Nao declarado,1,Solteiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3188,12,Entre 31 e 35,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3189,11,Entre 26 e 30,F,Feminino,2,Preta,0,Nao informado,3,Estrangeiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3190,3,18,M,Masculino,4,Amarela,3,Divorciado(a)/Desquitado(a)/Separado(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3191,3,18,M,Masculino,0,Nao declarado,1,Solteiro(a),3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3192,17,Entre 56 e 60,F,Feminino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3193,8,23,M,Masculino,3,Parda,2,Casado(a)/Mora com companheiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",1,Ja conclui o Ensino Medio
3194,8,23,M,Masculino,3,Parda,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3195,4,19,F,Feminino,4,Amarela,4,Viuvo(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3196,2,17,F,Feminino,5,Indigena,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3197,11,Entre 26 e 30,M,Masculino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),4,Nao conclui e nao estou cursando o Ensino Medio
3198,13,Entre 36 e 40,M,Masculino,1,Branca,0,Nao informado,1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3199,3,18,M,Masculino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3200,2,17,F,Feminino,1,Branca,1,Solteiro(a),3,Estrangeiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3201,13,Entre 36 e 40,F,Feminino,4,Amarela,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3202,3,18,M,Masculino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),0,Nao informado,2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3203,13,Entre 36 e 40,F,Feminino,3,Parda,0,Nao informado,2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3204,12,Entre 31 e 35,F,Feminino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3205,9,24,F,Feminino,4,Amarela,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3206,6,21,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3207,13,Entre 36 e 40,F,Feminino,3,Parda,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),4,Nao conclui e nao estou cursando o Ensino Medio
3208,3,18,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3209,2,17,M,Masculino,1,Branca,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3210,3,18,M,Masculino,1,Branca,3,Divorciado(a)/Desquitado(a)/Separado(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3211,12,Entre 31 e 35,F,Feminino,3,Parda,4,Viuvo(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3212,13,Entre 36 e 40,M,Masculino,1,Branca,2,Casado(a)/Mora com companheiro(a),3,Estrangeiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3213,3,18,M,Masculino,5,Indigena,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3214,2,17,F,Feminino,0,Nao declarado,0,Nao informado,0,Nao informado,3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3215,16,Entre 51 e 55,M,Masculino,2,Preta,0,Nao informado,3,Estrangeiro(a),1,Ja conclui o Ensino Medio
3216,16,Entre 51 e 55,M,Masculino,2,Preta,3,Divorciado(a)/Desquitado(a)/Separado(a),1,Brasileiro(a),4,Nao conclui e nao estou cursando o Ensino Medio
3217,8,23,F,Feminino,2,Preta,0,Nao informado,2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3218,9,24,F,Feminino,5,Indigena,2,Casado(a)/Mora com companheiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3219,1,Menor de 17,F,Feminino,1,Branca,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3220,6,21,M,Masculino,3,Parda,0,Nao informado,1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3221,6,21,M,Masculino,5,Indigena,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3222,16,Entre 51 e 55,M,Masculino,3,Parda,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3223,7,22,F,Feminino,3,Parda,0,Nao informado,1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3224,16,Entre 51 e 55,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),3,Estou cursando e concluirei o Ensino Medio apos o ano do ENEM
3225,13,Entre 36 e 40,F,Feminino,1,Branca,2,Casado(a)/Mora com companheiro(a),0,Nao informado,1,Ja conclui o Ensino Medio
3226,7,22,F,Feminino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3227,1,Menor de 17,M,Masculino,1,Branca,1,Solteiro(a),4,"Brasileiro(a) Nato(a), nascido(a) no exterior",2,Estou cursando e concluirei o Ensino Medio no ano do ENEM
3228,12,Entre 31 e 35,F,Feminino,5,Indigena,1,Solteiro(a),2,Brasileiro(a) Naturalizado(a),1,Ja conclui o Ensino Medio
3229,9,24,F,Feminino,3,Parda,2,Casado(a)/Mora com companheiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
3230,11,Entre 26 e 30,F,Feminino,4,Amarela,1,Solteiro(a),1,Brasileiro(a),1,Ja conclui o Ensino Medio
