id_socioeconomico,escolaridade_pai,escolaridade_pai_descricao,escolaridade_mae,escolaridade_mae_descricao,quantidade_pessoas_moradia,quantidade_pessoas_moradia_descricao,renda_familiar,renda_familiar_descricao
0,H,Nao sei,H,Nao sei,2,,B,"Ate R$ 1.212,00"
1,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",6,,I,"De R$ 6.060,01 ate R$ 7.272,00"
2,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",9,,D,"De R$ 1.818,01 ate R$ 2.424,00"
3,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,10,,J,"De R$ 7.272,01 ate R$ 8.484,00"
4,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,N,"De R$ 12.120,01 ate R$ 14.544,00"
5,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",7,,M,"De R$ 10.908,01 ate R$ 12.120,00"
6,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,5,,F,"De R$ 3.030,01 ate R$ 3.636,00"
7,A,Nunca estudou,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",1,,G,"De R$ 3.636,01 ate R$ 4.848,00"
8,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,3,,M,"De R$ 10.908,01 ate R$ 12.120,00"
9,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,N,"De R$ 12.120,01 ate R$ 14.544,00"
10,H,Nao sei,B,Nao completou a 4 serie/5 ano,3,,N,"De R$ 12.120,01 ate R$ 14.544,00"
11,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",14,,E,"De R$ 2.424,01 ate R$ 3.030,00"
12,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",18,,B,"Ate R$ 1.212,00"
13,A,Nunca estudou,B,Nao completou a 4 serie/5 ano,10,,C,"De R$ 1.212,01 ate R$ 1.818,00"
14,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,J,"De R$ 7.272,01 ate R$ 8.484,00"
15,A,Nunca estudou,A,Nunca estudou,8,,G,"De R$ 3.636,01 ate R$ 4.848,00"
16,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,6,,C,"De R$ 1.212,01 ate R$ 1.818,00"
17,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,10,,D,"De R$ 1.818,01 ate R$ 2.424,00"
18,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",7,,B,"Ate R$ 1.212,00"
19,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",6,,E,"De R$ 2.424,01 ate R$ 3.030,00"
20,A,Nunca estudou,H,Nao sei,3,,C,"De R$ 1.212,01 ate R$ 1.818,00"
21,G,Completou a Pos-graduacao,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,L,"De R$ 9.696,01 ate R$ 10.908,00"
22,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",8,,I,"De R$ 6.060,01 ate R$ 7.272,00"
23,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,5,,P,"De R$ 18.180,01 ate R$ 24.240,00"
24,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
25,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,I,"De R$ 6.060,01 ate R$ 7.272,00"
26,H,Nao sei,G,Completou a Pos-graduacao,4,,I,"De R$ 6.060,01 ate R$ 7.272,00"
27,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,E,"De R$ 2.424,01 ate R$ 3.030,00"
28,A,Nunca estudou,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,J,"De R$ 7.272,01 ate R$ 8.484,00"
29,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,4,,B,"Ate R$ 1.212,00"
30,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",B,Nao completou a 4 serie/5 ano,4,,G,"De R$ 3.636,01 ate R$ 4.848,00"
31,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,8,,Q,"Acima de R$ 24.240,00"
32,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,17,,P,"De R$ 18.180,01 ate R$ 24.240,00"
33,H,Nao sei,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",20,,B,"Ate R$ 1.212,00"
34,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,7,,G,"De R$ 3.636,01 ate R$ 4.848,00"
35,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",H,Nao sei,8,,F,"De R$ 3.030,01 ate R$ 3.636,00"
36,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,12,,A,Nenhuma Renda
37,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",8,,K,"De R$ 8.484,01 ate R$ 9.696,00"
38,A,Nunca estudou,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",7,,K,"De R$ 8.484,01 ate R$ 9.696,00"
39,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",10,,A,Nenhuma Renda
40,B,Nao completou a 4 serie/5 ano,H,Nao sei,8,,H,"De R$ 4.848,01 ate R$ 6.060,00"
41,A,Nunca estudou,A,Nunca estudou,20,,A,Nenhuma Renda
42,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,M,"De R$ 10.908,01 ate R$ 12.120,00"
43,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",A,Nunca estudou,2,,L,"De R$ 9.696,01 ate R$ 10.908,00"
44,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,10,,C,"De R$ 1.212,01 ate R$ 1.818,00"
45,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,B,"Ate R$ 1.212,00"
46,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,G,"De R$ 3.636,01 ate R$ 4.848,00"
47,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",6,,E,"De R$ 2.424,01 ate R$ 3.030,00"
48,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
49,A,Nunca estudou,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",4,,C,"De R$ 1.212,01 ate R$ 1.818,00"
50,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,N,"De R$ 12.120,01 ate R$ 14.544,00"
51,E,"Completou o Ensino Medio, mas nao completou a Faculdade",A,Nunca estudou,10,,B,"Ate R$ 1.212,00"
52,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",B,Nao completou a 4 serie/5 ano,20,,F,"De R$ 3.030,01 ate R$ 3.636,00"
53,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",11,,D,"De R$ 1.818,01 ate R$ 2.424,00"
54,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,4,,N,"De R$ 12.120,01 ate R$ 14.544,00"
55,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",20,,A,Nenhuma Renda
56,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,A,Nenhuma Renda
57,B,Nao completou a 4 serie/5 ano,E,"Completou o Ensino Medio, mas nao completou a Faculdade",1,,H,"De R$ 4.848,01 ate R$ 6.060,00"
58,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,7,,L,"De R$ 9.696,01 ate R$ 10.908,00"
59,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",15,,A,Nenhuma Renda
60,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,E,"De R$ 2.424,01 ate R$ 3.030,00"
61,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,7,,N,"De R$ 12.120,01 ate R$ 14.544,00"
62,G,Completou a Pos-graduacao,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",4,,B,"Ate R$ 1.212,00"
63,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",11,,F,"De R$ 3.030,01 ate R$ 3.636,00"
64,A,Nunca estudou,A,Nunca estudou,3,,K,"De R$ 8.484,01 ate R$ 9.696,00"
65,E,"Completou o Ensino Medio, mas nao completou a Faculdade",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",4,,F,"De R$ 3.030,01 ate R$ 3.636,00"
66,H,Nao sei,G,Completou a Pos-graduacao,4,,K,"De R$ 8.484,01 ate R$ 9.696,00"
67,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,19,,B,"Ate R$ 1.212,00"
68,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",A,Nunca estudou,8,,H,"De R$ 4.848,01 ate R$ 6.060,00"
69,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,8,,B,"Ate R$ 1.212,00"
70,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,5,,O,"De R$ 14.544,01 ate R$ 18.180,00"
71,H,Nao sei,A,Nunca estudou,12,,B,"Ate R$ 1.212,00"
72,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",2,,L,"De R$ 9.696,01 ate R$ 10.908,00"
73,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",10,,D,"De R$ 1.818,01 ate R$ 2.424,00"
74,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,8,,H,"De R$ 4.848,01 ate R$ 6.060,00"
75,G,Completou a Pos-graduacao,B,Nao completou a 4 serie/5 ano,4,,D,"De R$ 1.818,01 ate R$ 2.424,00"
76,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,7,,F,"De R$ 3.030,01 ate R$ 3.636,00"
77,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,B,"Ate R$ 1.212,00"
78,G,Completou a Pos-graduacao,B,Nao completou a 4 serie/5 ano,2,,M,"De R$ 10.908,01 ate R$ 12.120,00"
79,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",17,,H,"De R$ 4.848,01 ate R$ 6.060,00"
80,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",5,,O,"De R$ 14.544,01 ate R$ 18.180,00"
81,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,8,,M,"De R$ 10.908,01 ate R$ 12.120,00"
82,A,Nunca estudou,H,Nao sei,7,,C,"De R$ 1.212,01 ate R$ 1.818,00"
83,H,Nao sei,H,Nao sei,7,,P,"De R$ 18.180,01 ate R$ 24.240,00"
84,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",A,Nunca estudou,1,,A,Nenhuma Renda
85,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",B,Nao completou a 4 serie/5 ano,5,,A,Nenhuma Renda
86,B,Nao completou a 4 serie/5 ano,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",5,,I,"De R$ 6.060,01 ate R$ 7.272,00"
87,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",4,,A,Nenhuma Renda
88,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",9,,A,Nenhuma Renda
89,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",9,,G,"De R$ 3.636,01 ate R$ 4.848,00"
90,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,P,"De R$ 18.180,01 ate R$ 24.240,00"
91,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,6,,L,"De R$ 9.696,01 ate R$ 10.908,00"
92,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",B,Nao completou a 4 serie/5 ano,3,,J,"De R$ 7.272,01 ate R$ 8.484,00"
93,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",7,,G,"De R$ 3.636,01 ate R$ 4.848,00"
94,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,E,"De R$ 2.424,01 ate R$ 3.030,00"
95,B,Nao completou a 4 serie/5 ano,H,Nao sei,4,,G,"De R$ 3.636,01 ate R$ 4.848,00"
96,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",H,Nao sei,6,,K,"De R$ 8.484,01 ate R$ 9.696,00"
97,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,3,,E,"De R$ 2.424,01 ate R$ 3.030,00"
98,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,9,,C,"De R$ 1.212,01 ate R$ 1.818,00"
99,H,Nao sei,H,Nao sei,4,,Q,"Acima de R$ 24.240,00"
100,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,12,,Q,"Acima de R$ 24.240,00"
101,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",10,,D,"De R$ 1.818,01 ate R$ 2.424,00"
102,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",12,,G,"De R$ 3.636,01 ate R$ 4.848,00"
103,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,6,,Q,"Acima de R$ 24.240,00"
104,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
105,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",6,,E,"De R$ 2.424,01 ate R$ 3.030,00"
106,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",13,,F,"De R$ 3.030,01 ate R$ 3.636,00"
107,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,O,"De R$ 14.544,01 ate R$ 18.180,00"
108,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",8,,A,Nenhuma Renda
109,B,Nao completou a 4 serie/5 ano,B,Nao completou a 4 serie/5 ano,13,,A,Nenhuma Renda
110,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,G,"De R$ 3.636,01 ate R$ 4.848,00"
111,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",B,Nao completou a 4 serie/5 ano,1,,H,"De R$ 4.848,01 ate R$ 6.060,00"
112,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",7,,N,"De R$ 12.120,01 ate R$ 14.544,00"
113,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",8,,M,"De R$ 10.908,01 ate R$ 12.120,00"
114,H,Nao sei,B,Nao completou a 4 serie/5 ano,2,,Q,"Acima de R$ 24.240,00"
115,E,"Completou o Ensino Medio, mas nao completou a Faculdade",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",11,,E,"De R$ 2.424,01 ate R$ 3.030,00"
116,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,E,"De R$ 2.424,01 ate R$ 3.030,00"
117,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",13,,G,"De R$ 3.636,01 ate R$ 4.848,00"
118,A,Nunca estudou,G,Completou a Pos-graduacao,10,,B,"Ate R$ 1.212,00"
119,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,L,"De R$ 9.696,01 ate R$ 10.908,00"
120,H,Nao sei,G,Completou a Pos-graduacao,6,,N,"De R$ 12.120,01 ate R$ 14.544,00"
121,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,11,,G,"De R$ 3.636,01 ate R$ 4.848,00"
122,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",2,,Q,"Acima de R$ 24.240,00"
123,B,Nao completou a 4 serie/5 ano,E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,E,"De R$ 2.424,01 ate R$ 3.030,00"
124,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",H,Nao sei,2,,C,"De R$ 1.212,01 ate R$ 1.818,00"
125,E,"Completou o Ensino Medio, mas nao completou a Faculdade",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,L,"De R$ 9.696,01 ate R$ 10.908,00"
126,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",7,,O,"De R$ 14.544,01 ate R$ 18.180,00"
127,A,Nunca estudou,H,Nao sei,7,,F,"De R$ 3.030,01 ate R$ 3.636,00"
128,H,Nao sei,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",17,,C,"De R$ 1.212,01 ate R$ 1.818,00"
129,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,4,,P,"De R$ 18.180,01 ate R$ 24.240,00"
130,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,N,"De R$ 12.120,01 ate R$ 14.544,00"
131,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",H,Nao sei,6,,J,"De R$ 7.272,01 ate R$ 8.484,00"
132,H,Nao sei,A,Nunca estudou,8,,C,"De R$ 1.212,01 ate R$ 1.818,00"
133,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",2,,L,"De R$ 9.696,01 ate R$ 10.908,00"
134,A,Nunca estudou,E,"Completou o Ensino Medio, mas nao completou a Faculdade",4,,A,Nenhuma Renda
135,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",7,,M,"De R$ 10.908,01 ate R$ 12.120,00"
136,G,Completou a Pos-graduacao,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",6,,N,"De R$ 12.120,01 ate R$ 14.544,00"
137,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",E,"Completou o Ensino Medio, mas nao completou a Faculdade",4,,A,Nenhuma Renda
138,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,Q,"Acima de R$ 24.240,00"
139,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",8,,H,"De R$ 4.848,01 ate R$ 6.060,00"
140,G,Completou a Pos-graduacao,H,Nao sei,3,,C,"De R$ 1.212,01 ate R$ 1.818,00"
141,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,13,,E,"De R$ 2.424,01 ate R$ 3.030,00"
142,G,Completou a Pos-graduacao,H,Nao sei,3,,N,"De R$ 12.120,01 ate R$ 14.544,00"
143,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",6,,F,"De R$ 3.030,01 ate R$ 3.636,00"
144,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,3,,B,"Ate R$ 1.212,00"
145,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,8,,E,"De R$ 2.424,01 ate R$ 3.030,00"
146,G,Completou a Pos-graduacao,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",4,,O,"De R$ 14.544,01 ate R$ 18.180,00"
147,A,Nunca estudou,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",10,,C,"De R$ 1.212,01 ate R$ 1.818,00"
148,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,3,,C,"De R$ 1.212,01 ate R$ 1.818,00"
149,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,13,,C,"De R$ 1.212,01 ate R$ 1.818,00"
150,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",2,,F,"De R$ 3.030,01 ate R$ 3.636,00"
151,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",15,,B,"Ate R$ 1.212,00"
152,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,I,"De R$ 6.060,01 ate R$ 7.272,00"
153,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,5,,B,"Ate R$ 1.212,00"
154,G,Completou a Pos-graduacao,B,Nao completou a 4 serie/5 ano,7,,E,"De R$ 2.424,01 ate R$ 3.030,00"
155,A,Nunca estudou,G,Completou a Pos-graduacao,5,,B,"Ate R$ 1.212,00"
156,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",12,,G,"De R$ 3.636,01 ate R$ 4.848,00"
157,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",4,,C,"De R$ 1.212,01 ate R$ 1.818,00"
158,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",11,,B,"Ate R$ 1.212,00"
159,A,Nunca estudou,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",11,,D,"De R$ 1.818,01 ate R$ 2.424,00"
160,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",A,Nunca estudou,3,,I,"De R$ 6.060,01 ate R$ 7.272,00"
161,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",2,,B,"Ate R$ 1.212,00"
162,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",2,,G,"De R$ 3.636,01 ate R$ 4.848,00"
163,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,F,"De R$ 3.030,01 ate R$ 3.636,00"
164,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",G,Completou a Pos-graduacao,10,,C,"De R$ 1.212,01 ate R$ 1.818,00"
165,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",A,Nunca estudou,2,,C,"De R$ 1.212,01 ate R$ 1.818,00"
166,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,E,"De R$ 2.424,01 ate R$ 3.030,00"
167,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,3,,F,"De R$ 3.030,01 ate R$ 3.636,00"
168,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,1,,H,"De R$ 4.848,01 ate R$ 6.060,00"
169,A,Nunca estudou,H,Nao sei,6,,D,"De R$ 1.818,01 ate R$ 2.424,00"
170,A,Nunca estudou,A,Nunca estudou,1,,F,"De R$ 3.030,01 ate R$ 3.636,00"
171,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,C,"De R$ 1.212,01 ate R$ 1.818,00"
172,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",3,,C,"De R$ 1.212,01 ate R$ 1.818,00"
173,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",G,Completou a Pos-graduacao,4,,P,"De R$ 18.180,01 ate R$ 24.240,00"
174,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",3,,P,"De R$ 18.180,01 ate R$ 24.240,00"
175,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",4,,G,"De R$ 3.636,01 ate R$ 4.848,00"
176,G,Completou a Pos-graduacao,E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,H,"De R$ 4.848,01 ate R$ 6.060,00"
177,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",3,,M,"De R$ 10.908,01 ate R$ 12.120,00"
178,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,9,,F,"De R$ 3.030,01 ate R$ 3.636,00"
179,G,Completou a Pos-graduacao,B,Nao completou a 4 serie/5 ano,1,,H,"De R$ 4.848,01 ate R$ 6.060,00"
180,E,"Completou o Ensino Medio, mas nao completou a Faculdade",B,Nao completou a 4 serie/5 ano,8,,C,"De R$ 1.212,01 ate R$ 1.818,00"
181,E,"Completou o Ensino Medio, mas nao completou a Faculdade",H,Nao sei,5,,H,"De R$ 4.848,01 ate R$ 6.060,00"
182,G,Completou a Pos-graduacao,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",5,,M,"De R$ 10.908,01 ate R$ 12.120,00"
183,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",13,,B,"Ate R$ 1.212,00"
184,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",6,,M,"De R$ 10.908,01 ate R$ 12.120,00"
