id_socioeconomico,escolaridade_pai,escolaridade_pai_descricao,escolaridade_mae,escolaridade_mae_descricao,quantidade_pessoas_moradia,quantidade_pessoas_moradia_descricao,renda_familiar,renda_familiar_descricao
6415,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6416,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",6,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6417,H,Nao sei,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",2,,D,"De R$ 1.818,01 ate R$ 2.424,00"
6418,E,"Completou o Ensino Medio, mas nao completou a Faculdade",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",12,,I,"De R$ 6.060,01 ate R$ 7.272,00"
6419,H,Nao sei,G,Completou a Pos-graduacao,2,,P,"De R$ 18.180,01 ate R$ 24.240,00"
6420,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",11,,B,"Ate R$ 1.212,00"
6421,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",1,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6422,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,1,,N,"De R$ 12.120,01 ate R$ 14.544,00"
6423,B,Nao completou a 4 serie/5 ano,E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6424,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",4,,P,"De R$ 18.180,01 ate R$ 24.240,00"
6425,B,Nao completou a 4 serie/5 ano,G,Completou a Pos-graduacao,9,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6426,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",E,"Completou o Ensino Medio, mas nao completou a Faculdade",3,,A,Nenhuma Renda
6427,G,Completou a Pos-graduacao,A,Nunca estudou,1,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6428,A,Nunca estudou,B,Nao completou a 4 serie/5 ano,12,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6429,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",1,,A,Nenhuma Renda
6430,B,Nao completou a 4 serie/5 ano,A,Nunca estudou,6,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6431,H,Nao sei,B,Nao completou a 4 serie/5 ano,12,,B,"Ate R$ 1.212,00"
6432,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",12,,D,"De R$ 1.818,01 ate R$ 2.424,00"
6433,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",13,,D,"De R$ 1.818,01 ate R$ 2.424,00"
6434,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",7,,J,"De R$ 7.272,01 ate R$ 8.484,00"
6435,G,Completou a Pos-graduacao,A,Nunca estudou,6,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6436,A,Nunca estudou,H,Nao sei,6,,H,"De R$ 4.848,01 ate R$ 6.060,00"
6437,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",3,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6438,A,Nunca estudou,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",4,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6439,H,Nao sei,H,Nao sei,20,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6440,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",3,,Q,"Acima de R$ 24.240,00"
6441,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",3,,H,"De R$ 4.848,01 ate R$ 6.060,00"
6442,E,"Completou o Ensino Medio, mas nao completou a Faculdade",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",4,,K,"De R$ 8.484,01 ate R$ 9.696,00"
6443,G,Completou a Pos-graduacao,G,Completou a Pos-graduacao,10,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6444,B,Nao completou a 4 serie/5 ano,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",2,,M,"De R$ 10.908,01 ate R$ 12.120,00"
6445,A,Nunca estudou,G,Completou a Pos-graduacao,6,,G,"De R$ 3.636,01 ate R$ 4.848,00"
6446,E,"Completou o Ensino Medio, mas nao completou a Faculdade",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,P,"De R$ 18.180,01 ate R$ 24.240,00"
6447,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",5,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6448,E,"Completou o Ensino Medio, mas nao completou a Faculdade",E,"Completou o Ensino Medio, mas nao completou a Faculdade",5,,Q,"Acima de R$ 24.240,00"
6449,H,Nao sei,E,"Completou o Ensino Medio, mas nao completou a Faculdade",2,,B,"Ate R$ 1.212,00"
6450,H,Nao sei,H,Nao sei,11,,K,"De R$ 8.484,01 ate R$ 9.696,00"
6451,G,Completou a Pos-graduacao,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",2,,M,"De R$ 10.908,01 ate R$ 12.120,00"
6452,A,Nunca estudou,G,Completou a Pos-graduacao,3,,A,Nenhuma Renda
6453,H,Nao sei,G,Completou a Pos-graduacao,2,,O,"De R$ 14.544,01 ate R$ 18.180,00"
6454,D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",D,"Completou a 8 serie/9 ano, mas nao completou o Ensino Medio",10,,F,"De R$ 3.030,01 ate R$ 3.636,00"
6455,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",A,Nunca estudou,1,,C,"De R$ 1.212,01 ate R$ 1.818,00"
6456,B,Nao completou a 4 serie/5 ano,C,"Completou a 4 serie/5 ano, mas nao completou a 8 serie/9 ano",11,,D,"De R$ 1.818,01 ate R$ 2.424,00"
6457,E,"Completou o Ensino Medio, mas nao completou a Faculdade",G,Completou a Pos-graduacao,9,,I,"De R$ 6.060,01 ate R$ 7.272,00"
6458,A,Nunca estudou,H,Nao sei,20,,A,Nenhuma Renda
6459,F,"Completou a Faculdade, mas nao completou a Pos-graduacao",F,"Completou a Faculdade, mas nao completou a Pos-graduacao",7,,I,"De R$ 6.060,01 ate R$ 7.272,00"
